Age,Tenure,NumProducts,SaccoScore,MonthsInactive,BranchVisits,UtilizationRate,Education_Ord,EmploymentStatus_TE,Balance_RobustScaler,Gender_Male,MaritalStatus_Married,MaritalStatus_Single,Churn
36,126,1,13,6,11,0.65,1.0,0.2770060128550695,0.22500138598857947,0,0,1,0
31,144,2,12,12,8,0.97,3.0,0.27391304347826084,-0.31234330629115614,0,1,0,1
40,54,1,26,6,13,0.77,2.0,0.2767747230201067,0.13289782492192265,0,0,1,0
28,17,2,15,10,9,0.86,2.0,0.2723334021043945,-0.5844837038542803,1,0,1,1
34,154,3,13,7,10,0.88,1.0,0.27474402730375425,-0.35494551524895435,0,1,0,0
42,176,3,13,15,10,0.58,3.0,0.2767747230201067,1.7826800707162174,0,1,0,0
36,117,3,9,10,9,0.76,2.0,0.2770060128550695,0.48215462704587314,0,1,0,0
42,131,2,17,7,7,0.55,1.0,0.2627646326276463,0.46644675647872663,1,0,1,0
21,5,3,16,11,9,0.81,3.0,0.2723334021043945,0.30788966298917697,0,0,1,1
27,123,1,18,11,11,0.71,2.0,0.27391304347826084,0.088792588349072,1,0,1,0
33,7,4,11,10,3,0.81,3.0,0.2770060128550695,1.0461534196958218,1,1,0,1
19,111,1,11,6,8,0.59,3.0,0.27391304347826084,-0.34719013915325336,0,0,1,0
37,86,2,8,7,9,0.8,1.0,0.265988987717069,-0.5524458078465433,0,0,1,0
44,14,2,18,8,15,0.68,2.0,0.2723334021043945,0.36417311921349765,1,1,0,0
34,120,3,19,7,13,0.81,2.0,0.2767747230201067,-0.3295357246256291,0,1,0,0
19,162,1,19,5,11,0.9,2.0,0.2767747230201067,-0.07907834839440923,0,1,0,0
33,151,4,17,4,9,0.51,2.0,0.2767747230201067,-0.33163010736791526,1,1,0,0
22,58,2,21,7,10,0.71,2.0,0.2655860349127182,-0.24514442000997913,1,0,1,0
32,49,4,13,7,9,0.52,1.0,0.2655860349127182,0.5873111205563666,0,0,1,0
21,99,2,19,5,16,0.58,1.0,0.26641414141414144,-0.5189664837161742,0,1,0,1
18,155,1,16,6,12,0.63,2.0,0.27621483375959077,0.322414823301856,0,0,1,0
44,158,1,11,9,14,0.97,3.0,0.2770060128550695,0.48074399866945094,1,1,0,0
38,108,1,15,6,11,0.98,2.0,0.27474402730375425,-0.5062769882776166,0,1,0,1
23,152,3,12,7,14,0.61,1.0,0.2733843537414966,-0.5079956141161397,0,0,1,0
21,89,3,7,1,9,0.83,1.0,0.2767747230201067,0.4246761406686009,0,0,1,1
23,67,1,9,10,9,0.61,2.0,0.2719186785260483,2.018304289172657,1,0,1,0
30,14,1,7,13,14,0.55,2.0,0.2767747230201067,0.9226587572918399,1,0,1,1
47,76,1,17,11,6,0.65,1.0,0.2765167148163434,2.1388455639125517,0,0,1,1
39,166,3,9,8,8,0.65,2.0,0.2765167148163434,1.2281244802542828,0,0,1,0
25,143,4,14,6,14,0.52,2.0,0.27391304347826084,0.4616481560191944,1,1,0,0
45,125,1,21,8,13,0.89,3.0,0.265988987717069,0.45026456981994467,1,1,0,0
21,21,2,16,5,15,0.75,2.0,0.265988987717069,0.006089109825735036,1,0,1,1
52,55,4,17,5,9,0.6,1.0,0.2770060128550695,-0.3909873782640031,0,1,0,0
32,98,3,18,5,9,0.85,1.0,0.27474402730375425,0.021371943895182304,0,0,0,0
49,168,2,17,6,13,0.54,1.0,0.2767747230201067,2.1388455639125517,1,0,1,0
25,15,1,13,7,9,0.71,2.0,0.2767747230201067,1.585438495986793,1,0,1,0
35,79,3,17,3,7,0.62,3.0,0.27474402730375425,1.2155581838005656,0,1,0,0
30,40,1,12,12,11,0.69,3.0,0.2767747230201067,-0.11598260430334054,1,0,0,0
38,177,1,23,5,12,0.66,1.0,0.2723334021043945,-0.6139590609773375,1,1,0,0
25,11,2,25,8,11,0.82,2.0,0.2765167148163434,0.6626103400907977,1,1,0,0
23,41,1,19,7,13,0.62,2.0,0.2770060128550695,-0.5089750460456206,1,1,0,1
26,146,4,21,5,8,0.69,3.0,0.2723334021043945,-0.2884365432828834,1,1,0,0
53,92,2,12,9,15,0.64,2.0,0.265988987717069,0.02860988425455374,0,1,0,0
37,24,2,12,16,11,0.67,1.0,0.265988987717069,0.3533069687505775,0,0,1,1
27,148,1,13,7,10,0.53,1.0,0.2765167148163434,1.0989996242430962,0,0,1,0
34,105,3,16,11,8,0.61,1.0,0.2770060128550695,-0.6138789816371913,0,1,0,0
32,111,2,10,4,8,0.99,2.0,0.27391304347826084,-0.5265432212838567,0,1,0,0
34,73,2,21,9,13,0.95,1.0,0.265988987717069,0.3991801107558874,0,0,1,0
38,115,2,16,4,17,0.56,3.0,0.2770060128550695,0.14187287096754322,0,0,1,0
27,130,1,20,5,8,0.81,2.0,0.2765167148163434,-0.42300063447477193,0,1,0,0
43,150,2,11,8,8,0.57,1.0,0.2770060128550695,-0.5920358016249946,1,0,1,1
53,113,2,17,6,10,0.94,1.0,0.27621483375959077,-0.1905118301825193,0,0,1,0
34,51,2,11,10,8,0.93,1.0,0.2733843537414966,2.1388455639125517,1,1,0,0
40,9,1,12,9,6,0.95,3.0,0.2723334021043945,0.06091881802893944,0,0,1,0
37,151,1,20,7,7,0.86,2.0,0.27391304347826084,-0.23006486426551845,1,0,1,0
35,44,3,18,7,15,0.8,2.0,0.2765167148163434,-0.3932049599911297,1,1,0,1
39,146,1,15,5,14,0.93,1.0,0.2765167148163434,-0.483448216386697,1,1,0,1
34,101,3,14,10,12,0.69,3.0,0.2719186785260483,0.35872156413431155,1,1,0,0
26,18,1,21,9,14,0.6,3.0,0.2767747230201067,-0.5381608855543031,0,1,0,0
34,87,3,19,7,8,0.87,2.0,0.2723334021043945,-0.34738725752899796,1,1,0,1
47,14,4,12,10,14,0.8,2.0,0.2770060128550695,0.8242227684043884,1,0,1,0
41,51,1,11,11,11,0.54,2.0,0.27474402730375425,0.9206752536359101,1,0,1,0
39,128,3,15,8,8,0.59,2.0,0.2770060128550695,-0.40220464583371834,0,1,0,0
34,92,3,15,9,12,0.75,2.0,0.2733843537414966,0.39672229100832207,0,1,0,0
41,52,2,12,8,16,0.85,1.0,0.2723334021043945,-0.4592211360178392,0,1,0,0
18,57,2,15,8,7,0.53,3.0,0.2723334021043945,0.28209795551284655,1,1,0,1
34,105,2,20,5,9,0.91,1.0,0.265988987717069,-0.319729085432336,0,1,0,0
20,93,2,12,11,7,0.64,2.0,0.2733843537414966,-0.2569776825038962,1,1,0,0
31,50,2,20,11,8,0.92,2.0,0.2770060128550695,-0.5378528880922021,1,1,0,1
21,77,2,12,9,5,0.78,3.0,0.2765167148163434,0.7405090582053604,0,0,1,0
48,114,2,10,5,14,0.57,1.0,0.2770060128550695,-0.5670818472455788,0,0,1,0
28,153,1,12,6,11,0.87,2.0,0.2733843537414966,0.059003073814671764,0,0,0,0
30,72,2,20,11,8,0.57,1.0,0.2719186785260483,1.06043218203882,0,1,0,0
47,75,1,16,7,15,0.92,3.0,0.2723334021043945,0.1382138611177844,1,1,0,1
32,95,1,17,3,7,0.5,3.0,0.26641414141414144,0.8023487886459816,1,1,0,0
18,150,1,21,7,8,0.9,2.0,0.2719186785260483,-0.09481085875852382,1,1,0,0
43,128,1,14,12,13,0.89,1.0,0.27391304347826084,0.013782886429015826,0,1,0,0
31,119,1,17,8,9,0.9,3.0,0.2733843537414966,-0.047810446041924616,0,0,1,0
28,153,1,13,8,6,0.86,3.0,0.27391304347826084,0.43054657229624427,1,1,0,0
30,170,2,18,3,10,0.94,2.0,0.2641112047177759,0.46358238008118813,1,0,1,1
24,158,2,15,12,9,0.89,1.0,0.2723334021043945,0.8569197789810212,1,1,0,0
21,23,4,17,7,11,0.94,1.0,0.2719186785260483,0.3691133985055963,1,0,1,0
25,51,2,11,9,14,0.61,2.0,0.27391304347826084,0.03739397187367176,1,1,0,1
25,83,1,13,5,16,0.77,2.0,0.2723334021043945,-0.5122336591946482,0,1,0,0
32,10,3,20,11,12,0.53,2.0,0.2770060128550695,-0.030390109585497014,1,1,0,0
40,101,4,16,4,16,0.6,1.0,0.27391304347826084,-0.3822094505941271,0,0,0,0
39,67,1,13,8,14,0.74,2.0,0.27391304347826084,-0.1606668761049409,0,1,0,1
18,33,4,21,8,5,0.79,2.0,0.265988987717069,0.6756940722808444,1,0,1,0
50,148,4,18,10,11,0.75,2.0,0.2655860349127182,-0.5079340146237195,0,1,0,0
37,116,2,12,12,15,0.86,1.0,0.27391304347826084,-0.4279778734623227,1,0,1,0
45,132,4,22,6,9,0.8,1.0,0.2767747230201067,2.1388455639125517,0,0,1,1
42,21,3,19,14,11,0.88,1.0,0.2765167148163434,-0.41589205304948285,1,0,1,0
23,168,2,17,8,11,0.98,1.0,0.2719186785260483,-0.20171677785375047,0,1,0,0
30,94,2,13,11,10,0.84,2.0,0.2723334021043945,-0.6254104066182494,1,1,0,0
41,115,2,19,11,7,0.8,3.0,0.2767747230201067,1.169808240780096,1,1,0,0
46,62,4,14,9,11,0.97,2.0,0.2767747230201067,-0.34682054219873226,1,1,0,0
26,175,2,17,11,10,0.53,1.0,0.27391304347826084,0.8775371290940562,1,0,0,0
49,73,3,13,6,10,0.82,3.0,0.27391304347826084,0.21186837420459656,1,0,0,0
34,76,2,10,7,7,0.71,2.0,0.2770060128550695,-0.4958851539063318,0,0,1,0
33,2,3,18,4,7,1.0,2.0,0.2767747230201067,0.12753250913212474,0,1,0,0
42,148,1,19,12,7,0.74,2.0,0.2723334021043945,-0.21815152243145516,1,1,0,1
44,60,1,11,10,6,0.66,2.0,0.265988987717069,-0.1254874059837747,0,0,1,0
27,66,3,15,4,8,0.91,2.0,0.2655860349127182,2.1388455639125517,1,0,1,1
44,94,2,15,10,9,0.54,2.0,0.2765167148163434,0.6542204892231688,0,1,0,1
26,28,4,10,12,15,0.5,3.0,0.27391304347826084,-0.24590825371598937,1,0,1,0
43,167,2,12,4,12,0.97,2.0,0.265988987717069,-0.10429718059123193,0,0,0,0
30,159,3,4,5,9,0.75,1.0,0.27391304347826084,1.1315426360886787,0,1,0,1
27,168,4,21,8,6,0.53,1.0,0.2767747230201067,-0.4462852426096009,0,0,1,0
46,43,3,13,4,13,0.81,2.0,0.2719186785260483,-0.51352108858623,0,0,1,1
40,122,1,9,9,10,0.54,1.0,0.2719186785260483,0.08754827860218432,0,1,0,0
23,86,1,10,6,8,0.53,2.0,0.2733843537414966,-0.23685312833022257,1,0,1,0
44,55,4,19,14,8,0.75,1.0,0.2719186785260483,-0.6015159635084607,1,1,0,0
32,101,1,18,10,8,0.97,1.0,0.2641112047177759,-0.21788664461404839,0,0,1,1
41,44,1,18,9,13,0.5,2.0,0.27391304347826084,-0.2524870795064649,1,1,0,0
40,93,2,14,12,9,0.57,2.0,0.2765167148163434,1.0487590782251954,1,0,1,1
25,129,1,18,7,7,0.72,1.0,0.2765167148163434,-0.26875550545463506,0,0,1,0
31,100,4,18,6,8,0.75,3.0,0.27621483375959077,-0.29072188445167213,0,1,0,0
18,40,1,19,6,9,0.62,2.0,0.27391304347826084,-0.22672001182710255,0,0,1,0
30,167,2,30,6,7,0.58,2.0,0.2733843537414966,-0.12015904988942891,0,1,0,0
40,70,2,15,10,12,0.95,2.0,0.27391304347826084,2.1388455639125517,1,1,0,0
45,136,2,14,11,10,0.52,2.0,0.2733843537414966,-0.037036694817634705,1,0,0,0
46,49,3,19,9,8,0.61,2.0,0.2767747230201067,-0.4544902949999692,0,1,0,0
42,156,3,17,5,12,0.87,2.0,0.2719186785260483,-0.5759090545093909,1,1,0,1
33,151,2,20,10,13,0.56,2.0,0.27474402730375425,-0.21338372171813305,0,0,1,0
